CHR	START	END	Gene
CP100594.1	85476438	85476636	ADCY10
CP100594.1	85476741	85477006	ADCY10
CP100594.1	85485172	85485371	Tandem_Repeat
CP100594.1	85488657	85488748	ARHGAP33
CP100594.1	85489737	85489859	ARHGAP33
CP100594.1	85490259	85490343	ARHGAP33
CP100594.1	85490741	85490828	ARHGAP33
CP100594.1	85491304	85491462	ARHGAP33
CP100594.1	85492053	85492164	ARHGAP33
CP100594.1	85492245	85492377	ARHGAP33
CP100594.1	85492696	85492782	ARHGAP33
CP100594.1	85492817	85493249	ARHGAP33
CP100594.1	85493510	85493663	ARHGAP33
CP100594.1	85494027	85494238	ARHGAP33
CP100594.1	85494820	85495663	ARHGAP33
CP100594.1	85496081	85496156	ARHGAP33
