CHR	START	END	Gene
CM065528.1	77675381	77675539	C2orf3
CM065528.1	77675738	77675866	C2orf3
CM065528.1	77676337	77676417	C2orf3
CM065528.1	77677242	77677306	C2orf3
CM065528.1	77679226	77679377	C2orf3
CM065528.1	77679683	77679815	C2orf3
CM065528.1	77680213	77681597	C2orf3
CM065528.1	77682547	77682039	MRPL19
CM065528.1	77683575	77683530	MRPL19
CM065528.1	77684847	77684731	MRPL19
CM065528.1	77684945	77684899	MRPL19
CM065528.1	77688759	77688850	ARHGAP33
CM065528.1	77689809	77689931	ARHGAP33
CM065528.1	77690331	77690415	ARHGAP33
CM065528.1	77691217	77691375	ARHGAP33
CM065528.1	77691959	77692070	ARHGAP33
CM065528.1	77692151	77692283	ARHGAP33
CM065528.1	77692602	77692688	ARHGAP33
CM065528.1	77692723	77693158	ARHGAP33
CM065528.1	77693419	77693572	ARHGAP33
CM065528.1	77693936	77694147	ARHGAP33
CM065528.1	77694728	77695588	ARHGAP33
CM065528.1	77695990	77696068	ARHGAP33
CM065528.1	77696102	77696329	Tandem_Repeat
CM065528.1	77698795	77698231	MRPL19
CM065528.1	77705011	77705102	ARHGAP33
CM065528.1	77706061	77706183	ARHGAP33
CM065528.1	77706457	77706541	ARHGAP33
CM065528.1	77706939	77707026	ARHGAP33
CM065528.1	77707502	77707660	ARHGAP33
CM065528.1	77708240	77708351	ARHGAP33
CM065528.1	77708432	77708563	ARHGAP33
CM065528.1	77708884	77708970	ARHGAP33
CM065528.1	77709015	77709433	ARHGAP33
CM065528.1	77709696	77709849	ARHGAP33
CM065528.1	77710032	77710243	ARHGAP33
CM065528.1	77710821	77711585	ARHGAP33
CM065528.1	77712023	77712151	ARHGAP33
CM065528.1	77714714	77714792	ARHGAP33
CM065528.1	77715033	77715183	C2orf3
CM065528.1	77715722	77715943	C2orf3
CM065528.1	77716777	77716862	C2orf3
CM065528.1	77717821	77717945	C2orf3
CM065528.1	77719179	77719367	C2orf3
CM065528.1	77720299	77720422	C2orf3
CM065528.1	77721192	77721279	C2orf3
CM065528.1	77722403	77722517	C2orf3
CM065528.1	77723326	77723484	C2orf3
CM065528.1	77723683	77723811	C2orf3
CM065528.1	77724281	77724360	C2orf3
CM065528.1	77725198	77725281	C2orf3
CM065528.1	77727203	77727354	C2orf3
CM065528.1	77727660	77727792	C2orf3
CM065528.1	77728190	77729583	C2orf3
CM065528.1	77730536	77730027	MRPL19
CM065528.1	77731582	77731537	MRPL19
CM065528.1	77732854	77732738	MRPL19
CM065528.1	77732952	77732906	MRPL19
CM065528.1	77736732	77736823	ARHGAP33
CM065528.1	77737786	77737908	ARHGAP33
CM065528.1	77738308	77738392	ARHGAP33
CM065528.1	77738795	77738882	ARHGAP33
CM065528.1	77739194	77739352	ARHGAP33
CM065528.1	77739943	77740054	ARHGAP33
CM065528.1	77740135	77740267	ARHGAP33
CM065528.1	77740806	77740892	ARHGAP33
CM065528.1	77740927	77741362	ARHGAP33
CM065528.1	77741624	77741777	ARHGAP33
CM065528.1	77741960	77742171	ARHGAP33
CM065528.1	77742752	77743611	ARHGAP33
CM065528.1	77744013	77744091	ARHGAP33
CM065528.1	77747976	77748106	ARHGAP33
