CHR	START	END	Gene
CP100594.1	75132390	75132202	C2orf3
CP100594.1	75133741	75133617	C2orf3
CP100594.1	75134978	75134757	C2orf3
CP100594.1	75135683	75135533	C2orf3
CP100594.1	75136002	75135924	ARHGAP33
CP100594.1	75139144	75139017	ARHGAP33
CP100594.1	75140389	75139529	ARHGAP33
CP100594.1	75141124	75140913	ARHGAP33
CP100594.1	75141639	75141486	ARHGAP33
CP100594.1	75142329	75141894	ARHGAP33
CP100594.1	75142450	75142364	ARHGAP33
CP100594.1	75143121	75142989	ARHGAP33
CP100594.1	75143313	75143202	ARHGAP33
CP100594.1	75144061	75143903	ARHGAP33
CP100594.1	75144460	75144373	ARHGAP33
CP100594.1	75144941	75144857	ARHGAP33
CP100594.1	75145463	75145341	ARHGAP33
CP100594.1	75146510	75146419	ARHGAP33
CP100594.1	75155604	75156198	MRPL19
CP100594.1	75158561	75158789	Tandem_Repeat
CP100594.1	75158865	75158787	ARHGAP33
CP100594.1	75160127	75159267	ARHGAP33
CP100594.1	75160720	75160509	ARHGAP33
CP100594.1	75161056	75160903	ARHGAP33
CP100594.1	75161741	75161318	ARHGAP33
CP100594.1	75161862	75161776	ARHGAP33
CP100594.1	75162313	75162181	ARHGAP33
CP100594.1	75162505	75162394	ARHGAP33
CP100594.1	75163249	75163091	ARHGAP33
CP100594.1	75164135	75164051	ARHGAP33
CP100594.1	75164657	75164535	ARHGAP33
CP100594.1	75165711	75165620	ARHGAP33
CP100594.1	75185884	75185998	Tandem_Repeat
CP100594.1	75198279	75198317	Tandem_Repeat
CP100594.1	75215122	75215148	MRPL19
CP100594.1	75215222	75215335	MRPL19
CP100594.1	75216496	75216541	MRPL19
CP100594.1	75217545	75218054	MRPL19
CP100594.1	75219881	75218491	C2orf3
CP100594.1	75220411	75220279	C2orf3
CP100594.1	75220867	75220716	C2orf3
CP100594.1	75221996	75221928	C2orf3
CP100594.1	75223214	75223086	C2orf3
CP100594.1	75223571	75223413	C2orf3
